id,phase,task_type,text_en,text_de,voice_direction
coach_intro_session1,onboarding_first,,"Hi. I'm here to guide you through this session. We're going to work through a series of heights together -- not to force anything, but to find out what actually happens when you face them, step by step. You're always in control. If it gets too much, you can stop at any time, no explanation needed.","Hallo. Ich begleite dich durch diese Sitzung. Wir werden gemeinsam eine Reihe von Höhen durchgehen -- nicht um dich zu etwas zu zwingen, sondern um herauszufinden, was wirklich passiert, wenn du dich ihnen Schritt für Schritt stellst. Du hast jederzeit die Kontrolle. Wenn es zu viel wird, kannst du jederzeit aufhören, ohne das erklären zu müssen.",calm, warm, unhurried
coach_intro_session1_mechanism,onboarding_first,,"Before we start: your mind is probably predicting something bad will happen up there. That's normal. What we're doing here is simple -- you make a prediction, you test it, and you notice what really happens. That's how this works.","Bevor wir anfangen: Dein Kopf sagt dir wahrscheinlich, dass dort oben etwas Schlimmes passieren wird. Das ist normal. Was wir hier machen, ist einfach -- du stellst eine Vermutung auf, testest sie, und bemerkst, was wirklich passiert. So funktioniert das hier.",calm, slightly encouraging
coach_intro_resume,onboarding_resume,,"Welcome back. Last time you reached floor {last_floor}. We'll pick up right there -- no need to start over.","Willkommen zurück. Beim letzten Mal hast du Stockwerk {last_floor} erreicht. Wir machen genau dort weiter -- du musst nicht von vorne anfangen.",warm, brief
coach_ready_screen,ready_screen,,"Ready for the next level?","Bereit für die nächste Stufe?",neutral, inviting
coach_elevator_ascending,elevator_transition,,"Here we go.","Los geht's.",light, brief
task_instruction_stand,level_start,Stand,"Just stand here for a moment. Notice the space around you. Notice what your mind is telling you might happen.","Steh einfach einen Moment hier. Nimm den Raum um dich herum wahr. Bemerke, was dir dein Kopf sagt, was passieren könnte.",neutral, observational
task_instruction_approach_edge,level_start,ApproachEdge,"When you're ready, walk slowly toward the edge. Stop whenever you want -- there's no target you have to hit.","Wenn du bereit bist, geh langsam zur Kante. Bleib stehen, wann immer du willst -- es gibt kein Ziel, das du erreichen musst.",calm, non-directive
task_instruction_look_down,level_start,LookDown,"Take a moment and look down. What did you expect to feel? Compare that to what you're actually feeling right now.","Nimm dir einen Moment und schau nach unten. Was hast du erwartet zu fühlen? Vergleiche das mit dem, was du gerade tatsächlich fühlst.",calm, reflective
task_instruction_cross_plank,level_start,CrossPlank,"Cross the plank at your own pace. You can stop or turn back at any point.","Geh in deinem eigenen Tempo über den Steg. Du kannst jederzeit anhalten oder umkehren.",calm, reassuring
vas_prompt_start,vas,,"Before we begin -- how anxious do you feel right now, on a scale from 0 to 100?","Bevor wir anfangen -- wie ängstlich fühlst du dich gerade, auf einer Skala von 0 bis 100?",neutral, procedural
vas_prompt_gate,vas,,"How anxious do you feel right now?","Wie ängstlich fühlst du dich gerade?",neutral, brief
vas_prompt_end,vas,,"And now, at the end of this level -- how anxious do you feel?","Und jetzt, am Ende dieser Stufe -- wie ängstlich fühlst du dich?",neutral, procedural
level_advance_confirmation,gate_passed,,"Notice that: the feeling came down on its own, without you doing anything except staying here. That's worth remembering.","Bemerke das: Das Gefühl ist von allein zurückgegangen, ohne dass du etwas anderes getan hast, als hierzubleiben. Das lohnt sich zu merken.",calm, affirming
level_advance_cap_reached,gate_cap,,"That's enough for this level for now. Moving on -- what you noticed here still counts, even if the feeling didn't fully settle.","Das reicht für diese Stufe erst einmal. Wir gehen weiter -- was du hier bemerkt hast, zählt trotzdem, auch wenn sich das Gefühl nicht ganz gelegt hat.",calm, non-judgmental
session_end_summary,session_end,,"That's it for today. You reached floor {reached_floor}. Next time, we'll continue from there.","Das war's für heute. Du hast Stockwerk {reached_floor} erreicht. Beim nächsten Mal machen wir von dort weiter.",warm, closing
program_complete,program_end,,"You've completed the full programme. Take a moment to notice how different this feels compared to where you started.","Du hast das gesamte Programm abgeschlossen. Nimm dir einen Moment und bemerke, wie anders sich das anfühlt im Vergleich zu deinem Start.",warm, closing
abort_heart_rate,abort,,"We're stopping here for your safety. That's the right call, not a setback.","Wir stoppen hier zu deiner Sicherheit. Das ist die richtige Entscheidung, kein Rückschlag.",calm, reassuring
